"length","ticks","seconds"
15,2,2e-06
516,907,0.000907
1017,3113,0.003113
1518,6553,0.006553
2019,10224,0.010224
2520,13942,0.013942
3021,17229,0.017229
3522,20116,0.020116
4023,24554,0.024554
4524,31025,0.031025
5025,38236,0.038236
5526,46235,0.046235
6027,55013,0.055013
6528,64368,0.064368
7029,74734,0.074734
7530,86060,0.08606
8031,97392,0.097392
8532,128686,0.128686
9033,123032,0.123032
9534,137047,0.137047
10035,151575,0.151575
10536,167198,0.167198
11037,183405,0.183405
11538,201436,0.201436
12039,217960,0.21796
12540,236711,0.236711
13041,201017,0.201017
13542,213230,0.21323
14043,234298,0.234298
14544,247071,0.247071
15045,264347,0.264347
15546,279047,0.279047
16047,302710,0.30271
16548,431130,0.43113
17049,371174,0.371174
17550,360431,0.360431
18051,404288,0.404288
18552,516867,0.516867
19053,423803,0.423803
19554,434854,0.434854
20055,457412,0.457412
20556,480313,0.480313
21057,503453,0.503453
21558,527701,0.527701
22059,561018,0.561018
22560,596230,0.59623
23061,607791,0.607791
23562,759612,0.759612
24063,830507,0.830507
24564,684073,0.684073
25065,713708,0.713708
25566,744113,0.744113
26067,831102,0.831102
26568,809799,0.809799
27069,829694,0.829694
27570,860607,0.860607
28071,891698,0.891698
28572,1026853,1.02685
29073,1126689,1.12669
29574,1033917,1.03392
30075,1022632,1.02263
30576,1058869,1.05887
31077,1136814,1.13681
31578,1133824,1.13382
32079,1164865,1.16487
32580,1203619,1.20362
33081,1546878,1.54688
33582,1706189,1.70619
34083,1451459,1.45146
34584,1623730,1.62373
35085,1406947,1.40695
35586,1428859,1.42886
36087,1614561,1.61456
36588,1989178,1.98918
37089,1817312,1.81731
37590,1640610,1.64061
38091,1660377,1.66038
38592,1678707,1.67871
39093,2118256,2.11826
39594,2144849,2.14485
40095,1813683,1.81368
40596,1922912,1.92291
41097,1906842,1.90684
41598,1989603,1.9896
42099,2034785,2.03479
42600,2039786,2.03979
43101,2160027,2.16003
43602,2141028,2.14103
44103,2233792,2.23379
44604,2236116,2.23612
45105,2309873,2.30987
45606,2347780,2.34778
46107,2508616,2.50862
46608,2770457,2.77046
47109,2889788,2.88979
47610,2548096,2.5481
48111,3210022,3.21002
48612,2969572,2.96957
49113,2889601,2.8896
49614,3016120,3.01612
50115,2869135,2.86913
50616,3256667,3.25667
51117,3629252,3.62925
51618,3356891,3.35689
52119,3102840,3.10284
52620,3155932,3.15593
53121,3587183,3.58718
53622,3307816,3.30782
54123,3409770,3.40977
54624,3460528,3.46053
55125,4032595,4.0326
55626,3931867,3.93187
56127,3601498,3.6015
56628,3585731,3.58573
57129,3970484,3.97048
57630,3832196,3.8322
58131,4236866,4.23687
58632,3930704,3.9307
59133,4344065,4.34407
59634,4644979,4.64498
60135,4328374,4.32837
60636,4410275,4.41027
61137,4456323,4.45632
61638,4802440,4.80244
62139,4368079,4.36808
62640,4525863,4.52586
63141,4582964,4.58296
63642,4790881,4.79088
64143,4596349,4.59635
64644,5399770,5.39977
65145,5114785,5.11479
65646,5429831,5.42983
66147,5102432,5.10243
66648,5197152,5.19715
67149,5265140,5.26514
67650,5335561,5.33556
68151,5569380,5.56938
68652,5346067,5.34607
69153,5529594,5.52959
69654,5538523,5.53852
70155,5734115,5.73412
70656,6156803,6.1568
71157,6197278,6.19728
71658,5912370,5.91237
72159,7303297,7.3033
72660,6034199,6.0342
73161,6000742,6.00074
73662,6594512,6.59451
74163,6513813,6.51381
74664,6585706,6.58571
75165,6812842,6.81284
75666,6640086,6.64009
76167,6787440,6.78744
76668,6956899,6.9569
77169,6686650,6.68665
77670,6725804,6.7258
78171,6937839,6.93784
78672,7261963,7.26196
79173,7098629,7.09863
79674,7232389,7.23239
80175,7634219,7.63422
80676,8191880,8.19188
81177,7537149,7.53715
81678,7544896,7.5449
82179,8201358,8.20136
82680,8885007,8.88501
83181,8012785,8.01278
83682,8180899,8.1809
84183,8869267,8.86927
84684,8007245,8.00725
85185,9535227,9.53523
85686,8205504,8.2055
86187,9551295,9.5513
86688,8439886,8.43989
87189,9355808,9.35581
87690,8574215,8.57421
88191,8981033,8.98103
88692,9682293,9.68229
89193,9193219,9.19322
89694,9044084,9.04408
90195,9664210,9.66421
90696,9575932,9.57593
91197,9925645,9.92564
91698,10300235,10.3002
92199,10399594,10.3996
92700,9826273,9.82627
93201,10411676,10.4117
93702,11332149,11.3321
94203,10756679,10.7567
94704,10612850,10.6129
95205,10985525,10.9855
95706,10671223,10.6712
96207,10790614,10.7906
96708,11063073,11.0631
97209,12703425,12.7034
97710,11080245,11.0802
98211,11555320,11.5553
98712,12142685,12.1427
99213,12015979,12.016
99714,11953921,11.9539
100215,12493813,12.4938
100716,11959339,11.9593
101217,12408672,12.4087
101718,12210650,12.2107
102219,12274074,12.2741
102720,12292144,12.2921
103221,12591387,12.5914
103722,12674427,12.6744
104223,13843692,13.8437
104724,12589319,12.5893
105225,12921335,12.9213
105726,13251925,13.2519
106227,14525569,14.5256
106728,13076655,13.0767
107229,13032683,13.0327
107730,13448604,13.4486
108231,13658527,13.6585
108732,13466346,13.4663
109233,13422136,13.4221
109734,15149711,15.1497
110235,15205853,15.2059
110736,13934112,13.9341
111237,14062048,14.062
111738,14666826,14.6668
112239,15756383,15.7564
112740,14982394,14.9824
113241,15227356,15.2274
113742,15628451,15.6285
114243,16547934,16.5479
114744,14655406,14.6554
115245,15559990,15.56
115746,15647149,15.6471
116247,15627624,15.6276
116748,15735767,15.7358
117249,15430762,15.4308
117750,16005142,16.0051
118251,16538517,16.5385
118752,16667908,16.6679
119253,16144361,16.1444
119754,17110914,17.1109
120255,18414765,18.4148
120756,17486969,17.487
121257,16960871,16.9609
121758,16713641,16.7136
122259,17758387,17.7584
122760,17402883,17.4029
123261,18413169,18.4132
123762,18007152,18.0072
124263,17196760,17.1968
124764,17988428,17.9884
125265,18754754,18.7548
125766,18383434,18.3834
126267,18489202,18.4892
126768,18999583,18.9996
127269,19202108,19.2021
127770,20046770,20.0468
128271,19070807,19.0708
128772,19841838,19.8418
129273,19358344,19.3583
129774,19966426,19.9664
130275,20264346,20.2643
130776,20347383,20.3474
131277,19404309,19.4043
131778,20074451,20.0745
132279,20264113,20.2641
132780,20333535,20.3335
133281,21647475,21.6475
133782,20648452,20.6485
134283,20646544,20.6465
134784,21270786,21.2708
135285,20963070,20.9631
135786,21688177,21.6882
136287,21483384,21.4834
136788,20927746,20.9277
137289,21988951,21.989
137790,22402606,22.4026
138291,22311314,22.3113
138792,23881826,23.8818
139293,24766028,24.766
139794,25766705,25.7667
140295,22293131,22.2931
140796,23354429,23.3544
141297,23858076,23.8581
141798,23758269,23.7583
142299,24071231,24.0712
142800,23299572,23.2996
143301,24305779,24.3058
143802,23755809,23.7558
144303,25667078,25.6671
144804,23640330,23.6403
145305,23919846,23.9198
145806,23394346,23.3943
146307,24312527,24.3125
146808,23733853,23.7339
147309,24804764,24.8048
147810,24220832,24.2208
148311,24201749,24.2017
148812,26194620,26.1946
149313,26404990,26.405
149814,24570517,24.5705
150315,25483263,25.4833
150816,25847911,25.8479
151317,27192392,27.1924
151818,26210063,26.2101
152319,25801656,25.8017
152820,26871416,26.8714
153321,26403766,26.4038
153822,27445039,27.445
154323,28475871,28.4759
154824,28437457,28.4375
155325,27193127,27.1931
155826,27828425,27.8284
156327,27639052,27.6391
156828,28248438,28.2484
157329,28916504,28.9165
157830,28331127,28.3311
158331,29853988,29.854
158832,28418553,28.4186
159333,28350338,28.3503
159834,27968194,27.9682
160335,29303559,29.3036
160836,29346333,29.3463
161337,29539570,29.5396
161838,31891808,31.8918
162339,29373581,29.3736
162840,29801312,29.8013
163341,32102922,32.1029
