"length","ticks","seconds"
145806,14770,0.01477
146307,15007,0.015007
146808,14980,0.01498
147309,14851,0.014851
147810,14916,0.014916
148311,14998,0.014998
148812,15022,0.015022
149313,15285,0.015285
149814,15402,0.015402
150315,15456,0.015456
150816,15402,0.015402
151317,16230,0.01623
151818,21735,0.021735
152319,19166,0.019166
152820,16489,0.016489
153321,16458,0.016458
153822,16377,0.016377
154323,16027,0.016027
154824,15860,0.01586
155325,15649,0.015649
155826,15734,0.015734
156327,15741,0.015741
156828,15837,0.015837
157329,15872,0.015872
157830,15949,0.015949
158331,15970,0.01597
158832,16064,0.016064
159333,16086,0.016086
159834,16182,0.016182
160335,16215,0.016215
160836,16298,0.016298
161337,16309,0.016309
161838,16692,0.016692
162339,17284,0.017284
162840,18134,0.018134
163341,18147,0.018147
163842,18021,0.018021
164343,17189,0.017189
164844,16887,0.016887
165345,17647,0.017647
165846,17912,0.017912
166347,21878,0.021878
166848,22365,0.022365
167349,22448,0.022448
167850,19226,0.019226
168351,17558,0.017558
168852,18074,0.018074
169353,21944,0.021944
169854,20854,0.020854
170355,17302,0.017302
170856,17333,0.017333
171357,18211,0.018211
171858,19372,0.019372
172359,25298,0.025298
172860,22813,0.022813
173361,18003,0.018003
173862,18039,0.018039
174363,18054,0.018054
174864,18143,0.018143
175365,18080,0.01808
175866,18100,0.0181
176367,18148,0.018148
176868,18405,0.018405
177369,18314,0.018314
177870,18600,0.0186
178371,18806,0.018806
178872,18447,0.018447
179373,22425,0.022425
179874,23691,0.023691
180375,19970,0.01997
180876,19468,0.019468
181377,19104,0.019104
181878,19155,0.019155
182379,19191,0.019191
182880,19259,0.019259
183381,19315,0.019315
183882,19376,0.019376
184383,19473,0.019473
184884,19514,0.019514
185385,19569,0.019569
185886,19585,0.019585
186387,19671,0.019671
186888,19742,0.019742
187389,19802,0.019802
187890,19835,0.019835
188391,20334,0.020334
188892,21143,0.021143
189393,21330,0.02133
189894,25542,0.025542
190395,25722,0.025722
190896,25840,0.02584
191397,20295,0.020295
191898,20055,0.020055
192399,20240,0.02024
192900,19899,0.019899
193401,20042,0.020042
193902,19975,0.019975
194403,20422,0.020422
194904,20090,0.02009
195405,21353,0.021353
195906,26954,0.026954
196407,22143,0.022143
196908,22131,0.022131
197409,22118,0.022118
197910,25602,0.025602
198411,25747,0.025747
198912,21039,0.021039
199413,21075,0.021075
199914,21187,0.021187
200415,21182,0.021182
200916,21118,0.021118
201417,20659,0.020659
201918,20766,0.020766
202419,20795,0.020795
202920,26774,0.026774
203421,26463,0.026463
203922,22523,0.022523
204423,21075,0.021075
204924,21719,0.021719
205425,27472,0.027472
205926,27953,0.027953
206427,28660,0.02866
206928,28106,0.028106
207429,28198,0.028198
207930,22802,0.022802
208431,21752,0.021752
208932,21997,0.021997
209433,21808,0.021808
209934,22836,0.022836
210435,21864,0.021864
210936,22183,0.022183
211437,21955,0.021955
211938,22890,0.02289
212439,25851,0.025851
212940,28583,0.028583
213441,26719,0.026719
213942,21962,0.021962
214443,22203,0.022203
214944,22632,0.022632
215445,22149,0.022149
215946,22387,0.022387
216447,22766,0.022766
216948,23960,0.02396
217449,24229,0.024229
217950,24888,0.024888
218451,24627,0.024627
218952,24264,0.024264
219453,24232,0.024232
219954,24331,0.024331
220455,24695,0.024695
220956,25163,0.025163
221457,24421,0.024421
221958,25116,0.025116
222459,25831,0.025831
222960,24829,0.024829
223461,25605,0.025605
223962,30607,0.030607
224463,26473,0.026473
224964,25288,0.025288
225465,24950,0.02495
225966,23947,0.023947
226467,23809,0.023809
226968,23806,0.023806
227469,24199,0.024199
227970,24373,0.024373
228471,30312,0.030312
228972,31029,0.031029
229473,30175,0.030175
229974,25118,0.025118
230475,23887,0.023887
230976,24142,0.024142
231477,24868,0.024868
231978,25612,0.025612
232479,24353,0.024353
232980,24559,0.024559
233481,24481,0.024481
233982,24458,0.024458
234483,24678,0.024678
234984,24613,0.024613
235485,24779,0.024779
235986,25400,0.0254
236487,24860,0.02486
236988,25404,0.025404
237489,24878,0.024878
237990,25337,0.025337
238491,25191,0.025191
238992,25403,0.025403
239493,25777,0.025777
239994,26095,0.026095
240495,30067,0.030067
240996,32937,0.032937
241497,32955,0.032955
241998,41201,0.041201
242499,45278,0.045278
243000,31743,0.031743
243501,26700,0.0267
244002,31923,0.031923
244503,33342,0.033342
245004,33478,0.033478
245505,35007,0.035007
246006,33786,0.033786
246507,31674,0.031674
247008,26738,0.026738
247509,26208,0.026208
248010,32914,0.032914
248511,30669,0.030669
249012,27582,0.027582
249513,27023,0.027023
250014,26747,0.026747
250515,33948,0.033948
251016,34417,0.034417
251517,34379,0.034379
252018,34490,0.03449
252519,34864,0.034864
253020,29255,0.029255
253521,35519,0.035519
254022,28469,0.028469
254523,27172,0.027172
255024,26617,0.026617
255525,26443,0.026443
256026,26549,0.026549
256527,26630,0.02663
257028,26606,0.026606
257529,26647,0.026647
258030,26665,0.026665
258531,26789,0.026789
259032,33464,0.033464
259533,36025,0.036025
260034,29372,0.029372
260535,27888,0.027888
261036,27925,0.027925
261537,37815,0.037815
262038,35871,0.035871
262539,36016,0.036016
263040,36038,0.036038
263541,36163,0.036163
264042,30594,0.030594
264543,29106,0.029106
265044,28098,0.028098
265545,28071,0.028071
266046,28361,0.028361
266547,29185,0.029185
267048,28202,0.028202
267549,28639,0.028639
268050,28703,0.028703
268551,28432,0.028432
269052,28553,0.028553
269553,29681,0.029681
270054,31780,0.03178
270555,35133,0.035133
271056,30859,0.030859
271557,30025,0.030025
272058,29344,0.029344
272559,29403,0.029403
273060,29434,0.029434
273561,29516,0.029516
274062,29460,0.02946
274563,28793,0.028793
275064,35991,0.035991
275565,40288,0.040288
276066,33125,0.033125
276567,32585,0.032585
277068,38261,0.038261
277569,38377,0.038377
278070,38402,0.038402
278571,35580,0.03558
279072,29221,0.029221
279573,29313,0.029313
280074,29402,0.029402
280575,29484,0.029484
281076,30782,0.030782
281577,39369,0.039369
282078,39420,0.03942
