"length","ticks","seconds"
15,2,2e-06
2015,254,0.000254
4015,470,0.00047
6015,662,0.000662
8015,811,0.000811
10015,979,0.000979
12015,1091,0.001091
14015,1346,0.001346
16015,1693,0.001693
18015,2234,0.002234
20015,1985,0.001985
22015,2720,0.00272
24015,2675,0.002675
26015,2590,0.00259
28015,2974,0.002974
30015,2947,0.002947
32015,3222,0.003222
34015,3400,0.0034
36015,3990,0.00399
38015,4186,0.004186
40015,4255,0.004255
42015,4878,0.004878
44015,5162,0.005162
46015,5010,0.00501
48015,5640,0.00564
50015,5412,0.005412
52015,5978,0.005978
54015,5890,0.00589
56015,6190,0.00619
58015,6685,0.006685
60015,6548,0.006548
62015,7280,0.00728
64015,7133,0.007133
66015,7275,0.007275
68015,8735,0.008735
70015,7669,0.007669
72015,7433,0.007433
74015,8372,0.008372
76015,9127,0.009127
78015,8234,0.008234
80015,9636,0.009636
82015,10223,0.010223
84015,9886,0.009886
86015,10342,0.010342
88015,10675,0.010675
90015,9731,0.009731
92015,10826,0.010826
94015,10963,0.010963
96015,10666,0.010666
98015,12328,0.012328
100015,12188,0.012188
102015,11328,0.011328
104015,12729,0.012729
106015,12304,0.012304
108015,11525,0.011525
110015,12377,0.012377
112015,13740,0.01374
114015,13541,0.013541
116015,12623,0.012623
118015,13921,0.013921
120015,12922,0.012922
122015,14756,0.014756
124015,13922,0.013922
126015,13916,0.013916
128015,14368,0.014368
130015,14599,0.014599
132015,14548,0.014548
134015,15397,0.015397
136015,16028,0.016028
138015,15490,0.01549
140015,15251,0.015251
142015,16034,0.016034
144015,17343,0.017343
146015,17011,0.017011
148015,18097,0.018097
150015,17003,0.017003
152015,18918,0.018918
154015,19124,0.019124
156015,18829,0.018829
158015,19704,0.019704
160015,18362,0.018362
162015,18964,0.018964
164015,19829,0.019829
166015,20707,0.020707
168015,21977,0.021977
170015,20791,0.020791
172015,20533,0.020533
174015,20324,0.020324
176015,20587,0.020587
178015,21525,0.021525
180015,20707,0.020707
182015,21947,0.021947
184015,20982,0.020982
186015,21629,0.021629
188015,22092,0.022092
190015,23576,0.023576
192015,22244,0.022244
194015,24164,0.024164
196015,23504,0.023504
198015,24696,0.024696
200015,22889,0.022889
202015,24613,0.024613
204015,26923,0.026923
206015,25502,0.025502
208015,24016,0.024016
210015,24083,0.024083
212015,27043,0.027043
214015,26263,0.026263
216015,26450,0.02645
218015,28840,0.02884
220015,25518,0.025518
222015,28113,0.028113
224015,28843,0.028843
226015,29539,0.029539
228015,29216,0.029216
230015,27804,0.027804
232015,29599,0.029599
234015,28290,0.02829
236015,29441,0.029441
238015,29192,0.029192
240015,28706,0.028706
242015,27924,0.027924
244015,30013,0.030013
246015,29047,0.029047
248015,29509,0.029509
250015,30324,0.030324
252015,31480,0.03148
254015,31137,0.031137
256015,30956,0.030956
258015,30784,0.030784
260015,32369,0.032369
262015,33707,0.033707
264015,31296,0.031296
266015,30645,0.030645
268015,36456,0.036456
270015,32379,0.032379
272015,32323,0.032323
274015,33208,0.033208
276015,32098,0.032098
278015,34200,0.0342
280015,33974,0.033974
282015,35427,0.035427
284015,34664,0.034664
286015,34777,0.034777
288015,35203,0.035203
290015,34512,0.034512
292015,37719,0.037719
294015,38491,0.038491
296015,37044,0.037044
298015,35526,0.035526
300015,37786,0.037786
302015,37538,0.037538
304015,36113,0.036113
306015,37799,0.037799
308015,38780,0.03878
310015,39313,0.039313
312015,37068,0.037068
314015,39369,0.039369
316015,39972,0.039972
318015,38725,0.038725
320015,39388,0.039388
322015,38133,0.038133
324015,39861,0.039861
326015,40318,0.040318
328015,40159,0.040159
330015,39130,0.03913
332015,42743,0.042743
334015,42579,0.042579
336015,43019,0.043019
338015,40314,0.040314
340015,40580,0.04058
342015,41544,0.041544
344015,42759,0.042759
346015,42820,0.04282
348015,42277,0.042277
350015,43671,0.043671
352015,41958,0.041958
354015,44260,0.04426
356015,45210,0.04521
358015,46042,0.046042
360015,44154,0.044154
362015,46337,0.046337
364015,46973,0.046973
366015,47331,0.047331
368015,44462,0.044462
370015,44956,0.044956
372015,46568,0.046568
374015,48323,0.048323
376015,47632,0.047632
378015,48967,0.048967
380015,45456,0.045456
382015,47107,0.047107
384015,47735,0.047735
386015,47923,0.047923
388015,50422,0.050422
390015,48578,0.048578
392015,50571,0.050571
394015,49019,0.049019
396015,50090,0.05009
398015,49679,0.049679
400015,49797,0.049797
402015,51043,0.051043
404015,49721,0.049721
406015,51213,0.051213
408015,50391,0.050391
410015,49434,0.049434
412015,51861,0.051861
414015,51719,0.051719
416015,54196,0.054196
418015,53328,0.053328
420015,52078,0.052078
422015,52709,0.052709
424015,53190,0.05319
426015,51624,0.051624
428015,54132,0.054132
430015,54912,0.054912
432015,56810,0.05681
434015,54943,0.054943
436015,52034,0.052034
438015,55512,0.055512
440015,54210,0.05421
442015,55170,0.05517
444015,53469,0.053469
446015,57886,0.057886
448015,54748,0.054748
450015,55343,0.055343
452015,58105,0.058105
454015,54929,0.054929
456015,54943,0.054943
458015,56658,0.056658
460015,56792,0.056792
462015,57716,0.057716
464015,56798,0.056798
466015,58864,0.058864
468015,58002,0.058002
470015,59049,0.059049
472015,60075,0.060075
474015,58728,0.058728
476015,62293,0.062293
478015,60316,0.060316
480015,61036,0.061036
482015,59333,0.059333
484015,60155,0.060155
486015,60635,0.060635
488015,61123,0.061123
490015,63943,0.063943
492015,60757,0.060757
494015,64213,0.064213
496015,60950,0.06095
498015,61977,0.061977
500015,64062,0.064062
502015,62503,0.062503
504015,62293,0.062293
506015,65635,0.065635
508015,61672,0.061672
510015,63910,0.06391
512015,64507,0.064507
514015,62065,0.062065
516015,64741,0.064741
518015,63016,0.063016
520015,64581,0.064581
522015,62654,0.062654
524015,64743,0.064743
526015,64819,0.064819
528015,66644,0.066644
530015,64966,0.064966
532015,65978,0.065978
534015,69530,0.06953
536015,65741,0.065741
538015,69003,0.069003
540015,66434,0.066434
542015,67011,0.067011
544015,70468,0.070468
546015,67565,0.067565
548015,68760,0.06876
550015,69960,0.06996
552015,66469,0.066469
554015,71010,0.07101
556015,69687,0.069687
558015,68435,0.068435
560015,71629,0.071629
562015,68911,0.068911
564015,74963,0.074963
566015,69298,0.069298
568015,72815,0.072815
570015,73021,0.073021
572015,69558,0.069558
574015,72491,0.072491
576015,72227,0.072227
578015,74139,0.074139
580015,71867,0.071867
582015,76304,0.076304
584015,73677,0.073677
586015,71621,0.071621
588015,71375,0.071375
590015,76829,0.076829
592015,76040,0.07604
594015,74378,0.074378
596015,72510,0.07251
598015,77115,0.077115
600015,75354,0.075354
602015,74489,0.074489
604015,76153,0.076153
606015,76130,0.07613
608015,76319,0.076319
610015,78029,0.078029
612015,78978,0.078978
614015,76590,0.07659
616015,77575,0.077575
618015,77984,0.077984
620015,79456,0.079456
622015,80572,0.080572
624015,80000,0.08
626015,82257,0.082257
628015,80805,0.080805
630015,80948,0.080948
632015,80762,0.080762
634015,81881,0.081881
636015,83017,0.083017
638015,82094,0.082094
640015,82324,0.082324
642015,82068,0.082068
644015,79550,0.07955
646015,85846,0.085846
648015,84088,0.084088
650015,84920,0.08492
652015,83933,0.083933
654015,85597,0.085597
656015,85888,0.085888
658015,80722,0.080722
660015,83821,0.083821
662015,85563,0.085563
664015,86223,0.086223
666015,86534,0.086534
668015,84244,0.084244
670015,86255,0.086255
672015,86669,0.086669
674015,89304,0.089304
676015,87755,0.087755
678015,87130,0.08713
680015,87284,0.087284
682015,87465,0.087465
684015,90963,0.090963
686015,89934,0.089934
688015,85991,0.085991
690015,85661,0.085661
692015,89218,0.089218
694015,93132,0.093132
696015,91763,0.091763
698015,90678,0.090678
700015,89287,0.089287
702015,90393,0.090393
704015,91005,0.091005
706015,91425,0.091425
708015,89622,0.089622
710015,88729,0.088729
712015,91816,0.091816
714015,93789,0.093789
716015,90364,0.090364
718015,92378,0.092378
720015,94067,0.094067
722015,93906,0.093906
724015,91115,0.091115
726015,96385,0.096385
728015,91632,0.091632
730015,95376,0.095376
732015,95640,0.09564
734015,95809,0.095809
736015,97673,0.097673
738015,97614,0.097614
740015,96611,0.096611
742015,92585,0.092585
744015,97394,0.097394
746015,99414,0.099414
748015,97742,0.097742
750015,95777,0.095777
752015,93905,0.093905
754015,97737,0.097737
756015,98465,0.098465
758015,96419,0.096419
760015,95970,0.09597
762015,94697,0.094697
764015,96003,0.096003
766015,99570,0.09957
768015,99345,0.099345
770015,97202,0.097202
772015,98986,0.098986
774015,103265,0.103265
776015,100101,0.100101
778015,101821,0.101821
780015,100820,0.10082
782015,99330,0.09933
784015,98208,0.098208
786015,102068,0.102068
788015,104859,0.104859
790015,100123,0.100123
792015,100376,0.100376
794015,101098,0.101098
796015,107254,0.107254
798015,104051,0.104051
800015,100193,0.100193
802015,105411,0.105411
804015,103420,0.10342
806015,102606,0.102606
808015,103266,0.103266
810015,103974,0.103974
812015,106313,0.106313
814015,103186,0.103186
816015,105276,0.105276
818015,104982,0.104982
820015,105479,0.105479
822015,107024,0.107024
824015,107564,0.107564
826015,107709,0.107709
828015,103833,0.103833
830015,108778,0.108778
832015,105969,0.105969
834015,108390,0.10839
836015,107210,0.10721
838015,105774,0.105774
840015,110743,0.110743
842015,107964,0.107964
844015,107651,0.107651
846015,109990,0.10999
848015,107799,0.107799
850015,111371,0.111371
852015,111628,0.111628
854015,109142,0.109142
856015,109419,0.109419
858015,109323,0.109323
860015,110235,0.110235
862015,108017,0.108017
864015,110708,0.110708
866015,111483,0.111483
868015,112117,0.112117
870015,111116,0.111116
872015,114361,0.114361
874015,115125,0.115125
876015,114602,0.114602
878015,112171,0.112171
880015,115310,0.11531
882015,117750,0.11775
884015,115588,0.115588
886015,114028,0.114028
