"length","ticks","seconds"
290015,63622,0.063622
291015,63841,0.063841
292015,64383,0.064383
293015,63429,0.063429
294015,64897,0.064897
295015,66120,0.06612
296015,65280,0.06528
297015,68951,0.068951
298015,68840,0.06884
299015,65406,0.065406
300015,66554,0.066554
301015,68157,0.068157
302015,68222,0.068222
303015,68570,0.06857
304015,68961,0.068961
305015,69094,0.069094
306015,69057,0.069057
307015,68016,0.068016
308015,69624,0.069624
309015,69966,0.069966
310015,69882,0.069882
311015,69923,0.069923
312015,69789,0.069789
313015,69346,0.069346
314015,70132,0.070132
315015,68797,0.068797
316015,71078,0.071078
317015,69435,0.069435
318015,72167,0.072167
319015,70629,0.070629
320015,73498,0.073498
321015,71694,0.071694
322015,72149,0.072149
323015,72070,0.07207
324015,73724,0.073724
325015,72344,0.072344
326015,72562,0.072562
327015,72213,0.072213
328015,74407,0.074407
329015,74550,0.07455
330015,74797,0.074797
331015,75687,0.075687
332015,75359,0.075359
333015,74925,0.074925
334015,76670,0.07667
335015,76369,0.076369
336015,74151,0.074151
337015,74181,0.074181
338015,75183,0.075183
339015,74508,0.074508
340015,74925,0.074925
341015,76627,0.076627
342015,76515,0.076515
343015,75690,0.07569
344015,78038,0.078038
345015,76806,0.076806
346015,78479,0.078479
347015,77094,0.077094
348015,78181,0.078181
349015,77605,0.077605
350015,78571,0.078571
351015,79866,0.079866
352015,77643,0.077643
353015,80175,0.080175
354015,79395,0.079395
355015,78834,0.078834
356015,80354,0.080354
357015,78466,0.078466
358015,80578,0.080578
359015,81782,0.081782
360015,83624,0.083624
361015,81071,0.081071
362015,82950,0.08295
363015,81927,0.081927
364015,86517,0.086517
365015,81309,0.081309
366015,83535,0.083535
367015,83208,0.083208
368015,82226,0.082226
369015,84098,0.084098
370015,86208,0.086208
371015,82640,0.08264
372015,83914,0.083914
373015,84420,0.08442
374015,84478,0.084478
375015,85114,0.085114
376015,83731,0.083731
377015,85453,0.085453
378015,83239,0.083239
379015,86198,0.086198
380015,88010,0.08801
381015,87341,0.087341
382015,88515,0.088515
383015,85060,0.08506
384015,86012,0.086012
385015,86869,0.086869
386015,88446,0.088446
387015,88879,0.088879
388015,88441,0.088441
389015,86456,0.086456
390015,89172,0.089172
391015,90357,0.090357
392015,89287,0.089287
393015,90691,0.090691
394015,89795,0.089795
395015,88934,0.088934
396015,88979,0.088979
397015,90127,0.090127
398015,90193,0.090193
399015,87633,0.087633
400015,93448,0.093448
401015,91162,0.091162
402015,90901,0.090901
403015,92828,0.092828
404015,90839,0.090839
405015,92967,0.092967
406015,90205,0.090205
407015,93372,0.093372
408015,92800,0.0928
409015,92295,0.092295
410015,93415,0.093415
411015,93763,0.093763
412015,91670,0.09167
413015,94224,0.094224
414015,95306,0.095306
415015,93689,0.093689
416015,94829,0.094829
417015,95357,0.095357
418015,96351,0.096351
419015,96765,0.096765
420015,96472,0.096472
421015,97690,0.09769
422015,95281,0.095281
423015,97374,0.097374
424015,95514,0.095514
425015,97638,0.097638
426015,97932,0.097932
427015,97074,0.097074
428015,98717,0.098717
429015,96829,0.096829
430015,99160,0.09916
431015,99305,0.099305
432015,97845,0.097845
433015,98202,0.098202
434015,99821,0.099821
435015,98025,0.098025
436015,100407,0.100407
437015,100755,0.100755
438015,101728,0.101728
439015,103295,0.103295
440015,101077,0.101077
441015,101114,0.101114
442015,101659,0.101659
443015,99367,0.099367
444015,102767,0.102767
445015,100624,0.100624
446015,102716,0.102716
447015,103620,0.10362
448015,101624,0.101624
449015,102728,0.102728
450015,102040,0.10204
451015,101680,0.10168
